objectid,filename,title,creator,date,description,subject,location,city-country,latitude,longitude,source,type,format,language,rights,rightsstatement
play001,https://sfritzell.github.io/tracing-medea/pages/mojada-alfaro.html,Mojada,"Alfaro, Luis",2012,"Luis Alfaro's Mojada: A Medea in Los Angeles is a free adaptation of Euripides' Medea which explores the dire situation of illegal, Mexican, female immigrants in North America. His reimagining of Euripides' play features Medea, a Mexican immigrant and extremely skilled seamstress, in an epic journey of border crossings that finds her in Boyle Heights, Los Angeles.",undocumented immigrant; magic; mother; murderer; contemporary; modern; mexican,Americas,"Los Angeles, CA",33.9991,-118.4117,https://sfritzell.github.io/tracing-medea/pages/mojada-alfaro.html,text,record,eng,,
play002,https://sfritzell.github.io/tracing-medea/pages/medea-grillparzer.html,Medea,"Grillparzer, Franz",1820,,mother; murderer; ancient; Colchian,Europe,"Vienna, Austria",48.2204,16.3797,https://sfritzell.github.io/tracing-medea/pages/medea-grillparzer.html,text,record,eng,,
